Name,类别,链接,日期,备注,星球链接,期数
「关键词引流训练营」报名须知,基础内容,,,,,
「关键词引流训练营」介绍,基础内容,,,,,
「关键词引流训练营」使用手册,基础内容,,,,,
「关键词引流训练营」实操常见问题解答库,基础内容,,,,,
第08期「关键词引流训练营」-第02直播,关键词往期直播,https://t.zsxq.com/j6fd2,2023年6月6日,以「防晒」为主要的关键词，进行搜索选品的方法。,,第08期
第09期「关键词引流训练营」-第01直播,关键词往期直播,https://t.zsxq.com/j6fd2,2023年8月8日,讲解第一次作业，以及答疑提问,https://t.zsxq.com/12un2SXSB,第09期
第04期「关键词引流训练营」-第01直播,关键词往期直播,https://t.zsxq.com/j6fd2,2022年7月8日,讲解第04期训练营第一次作业,https://t.zsxq.com/12GuoFZ7e,第04期
第09期「关键词引流训练营」-第02直播,关键词往期直播,https://t.zsxq.com/j6fd2,2023年8月13日,,,第09期
第04期「关键词引流训练营」-第02直播,关键词往期直播,https://t.zsxq.com/j6fd2,2022年7月12日,「精油」「宠物」「抗衰」为关键词的选品讲,,第04期
第07期「关键词引流训练营」-第02直播,关键词往期直播,https://t.zsxq.com/j6fd2,2023年3月7日,以「宠物」为关键词选品,,第07期
第07期「关键词引流训练营」-第01直播,关键词往期直播,https://t.zsxq.com/j6fd2,2023年2月28日,讲解第07期训练营第一次作业，以及答疑提问,https://t.zsxq.com/12RiNVN3l,第07期
第08期「关键词引流训练营」-第01直播,关键词往期直播,https://t.zsxq.com/j6fd2,2023年6月1日,讲解第一次作业，以及答疑提问,https://t.zsxq.com/12Hbo8VBX,第08期
第05期「关键词引流训练营」-第02直播,关键词往期直播,https://t.zsxq.com/j6fd2,2022年9月6日,关键词选品,,第05期
第05期「关键词引流训练营」-第01直播,关键词往期直播,https://t.zsxq.com/j6fd2,2022年9月2日,讲解第05期训练营第一次作业,https://t.zsxq.com/12rqmqhB1,第05期
第06期「关键词引流训练营」-第02直播,关键词往期直播,https://t.zsxq.com/j6fd2,2022年11月22日,以「宠物」、「饰品」为关键词选品,,第06期
第06期「关键词引流训练营」-第01直播,关键词往期直播,https://t.zsxq.com/j6fd2,2022年11月18日,讲解第06期训练营第一次作业,https://t.zsxq.com/12RiNVN3l,第06期
「天马黑珍珠」直播合集,,,,,,
第04期「关键词引流训练营」文字答疑,关键词文字答疑,https://t.zsxq.com/Jdvr2,2022年7月13日,,,
第05期「关键词引流训练营」文字答疑,关键词文字答疑,https://t.zsxq.com/nMIrf,2022年9月2日,,,
第06期「关键词引流训练营」文字答疑,关键词文字答疑,https://t.zsxq.com/E7xoJ,2022年11月18日,,,
第07期「关键词引流训练营」文字答疑,关键词文字答疑,https://t.zsxq.com/9zE9h,2023年2月28日,,,
第08期「关键词引流训练营」文字答疑,关键词文字答疑,https://t.zsxq.com/eXkTR,2023年6月2日,,,
第09期「关键词引流训练营」文字答疑,关键词文字答疑,https://t.zsxq.com/7B92w,2023年8月9日,,,
第10期「关键词引流训练营」文字答疑,关键词文字答疑,https://t.zsxq.com/1mChv,2023年11月17日,,,
第11期「关键词引流训练营」文字答疑,关键词文字答疑,https://t.zsxq.com/EL30j,2024年4月24日,,,
01.何为关键词？,关键词引流课程,https://t.zsxq.com/8MDNK,,,,
02.这样使用数据，才能赚到,关键词引流课程,https://t.zsxq.com/Zsvcp,,,,
03.下拉词,关键词引流课程,https://t.zsxq.com/MKQvK,,,,
04.挖好词，做知乎躺赚,关键词引流课程,https://t.zsxq.com/iykbi,,,,
05.关键词布局，让用户逃不出你的手掌心！,关键词引流课程,https://t.zsxq.com/V6F3D,,,,
06.如何利用关键词进行内容选题？,关键词引流课程,https://t.zsxq.com/p6FYt,,,,
07.如何建立关键词库？,关键词引流课程,https://t.zsxq.com/XIHq7,,,,
08.如何利用关键词+ChatGPT利用铺稿,关键词引流课程,https://t.zsxq.com/QaJHg,,,,
09.「关键词引流训练营」之「实操小红书关键词铺稿」,关键词引流课程,https://t.zsxq.com/NiWCM,,,,
「关键词引流训练营」之知乎蓝海问题统计,基础内容,"https://raayg17e4m.feishu.cn/wiki/wikcnAh6Y1zRDVrvI7MFI406Xee?from=from_copylink ",,,"https://raayg17e4m.feishu.cn/wiki/wikcnAh6Y1zRDVrvI7MFI406Xee?from=from_copylink ",
